station_name,lat_degree,lat_minute,lat_second,lon_degree,lon_minute,lon_second
Kourou,5,13,20,-52,46,25
Kiruna,67.857128,0,0,20.964325,0,0
Redu,50,0,7,5,8,48
Santa Maria,36,59,50.1,25,8,8.6
South Point ,19,1,0,-155,40,0
Santiago,-33,8,0,-70,40,0
Troll,-72,1,0,2,32,0
Svalbard,78.22977222,0,0,15.40778611,0,0
Dongara,-29,3,0,115,21,0
O'Higgins,-63,19,16,57,54,4
Inuvik ,68,19,16,-133,32,0
Cebreros,40,27,10,-4,22,3
New Norcia,-31,2,54,116,11,28
Malargüe,-35,46,34,-69,23,54
Weilheim,47,52,51.6,11,4,58.8
